country,points,price,province,region_1,region_2,variety,winery
US,89,26,Oregon,Walla Walla Valley (OR),Oregon Other,Merlot,Seven Bridges
US,89,48,California,Alexander Valley,Sonoma,Bordeaux-style Red Blend,Trione
Chile,89,25,Maipo Valley,,,Cabernet Sauvignon,Undurraga
US,89,55,California,Sonoma Mountain,Sonoma,Pinot Noir,Aiken
US,89,65,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Anam Cara
US,89,45,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Anam Cara
US,89,125,California,Napa Valley,Napa,Cabernet Sauvignon,Axios
Italy,89,32,Sicily & Sardinia,Sicilia,,Chardonnay,Baglio del Cristo di Campobello
France,89,19,Southwest France,Fronton,,Negrette,Château Bouissel
US,93,115,California,Napa Valley,Napa,Chardonnay,Jarvis
US,93,25,Washington,Red Mountain,Columbia Valley,Chenin Blanc,Kiona
US,93,60,California,Sonoma Coast,Sonoma,Pinot Noir,Lutum
US,93,55,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,Maison Bleue
Italy,93,55,Piedmont,Barolo,,Nebbiolo,Mauro Veglio
US,93,70,California,Santa Barbara County,Central Coast,Nebbiolo,Palmina
Spain,93,149,Northern Spain,Rioja,,Tempranillo,Viñedos de Paganos
US,93,45,California,Sonoma Coast,Sonoma,Chardonnay,Black Kite
Italy,93,40,Piedmont,Barolo,,Nebbiolo,G D Vajra
Italy,93,100,Piedmont,Barbaresco,,Nebbiolo,Giuseppe Cortese
France,93,60,Loire Valley,Sancerre,,Sauvignon Blanc,Henri Bourgeois
US,93,45,Washington,Red Mountain,Columbia Valley,Bordeaux-style Red Blend,Cadence
US,93,36,California,Santa Ynez Valley,Central Coast,Sangiovese,Cent'Anni
France,93,40,Loire Valley,Sancerre,,Sauvignon Blanc,Domaine Gérard Fiou
US,93,90,California,Carneros,Napa-Sonoma,Pinot Noir,Donum
US,93,25,California,Green Valley,Sonoma,Gewürztraminer,Dutton-Goldfield
Italy,93,100,Tuscany,Maremma Toscana,,Red Blend,Fattoria Le Pupille
US,93,90,Washington,Walla Walla Valley (WA),Columbia Valley,Tempranillo,Cayuse
France,93,30,Loire Valley,Sancerre,,Sauvignon Blanc,Domaine Jean-Paul Balland
Italy,93,120,Tuscany,Costa Toscana,,Cabernet Franc,Duemani
Italy,93,80,Piedmont,Barolo,,Nebbiolo,Poderi Colla
US,93,65,Washington,Washington,Washington Other,Grenache,Rôtie Cellars
US,93,24,California,San Luis Obispo County,Central Coast,Chardonnay,Sinor-LaVallee
US,93,50,Washington,Walla Walla Valley (WA),Columbia Valley,Cabernet Franc,Spring Valley Vineyard
US,93,36,California,Santa Cruz Mountains,Central Coast,Pinot Noir,Thomas Fogarty
France,93,35,Loire Valley,Sancerre,,Sauvignon Blanc,Henri Bourgeois
Spain,93,190,Northern Spain,Rioja,,Tempranillo,Artadi
Spain,93,110,Northern Spain,Rioja,,Tempranillo,Artadi
US,93,43,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Baer
US,93,42,California,Russian River Valley,Sonoma,Sparkling Blend,Balletto
US,88,50,California,Carneros,Napa-Sonoma,Chardonnay,Kazmer & Blaise
US,88,24,California,Carneros,Napa-Sonoma,Chardonnay,Molnar Family
Italy,88,25,Central Italy,Verdicchio dei Castelli di Jesi Classico,,Verdicchio,Umani Ronchi
US,88,18,Oregon,Willamette Valley,Willamette Valley,Pinot Blanc,WillaKenzie Estate
Australia,88,25,South Australia,McLaren Vale,,Grenache,Yangarra Estate Vineyard
US,88,25,New York,Finger Lakes,Finger Lakes,Riesling,Heron Hill
Argentina,88,15,Mendoza Province,Uco Valley,,Syrah,Bodega Aconquija
Italy,88,21,Sicily & Sardinia,Sicilia,,White Blend,Planeta
Portugal,88,26,Port,,,Port,Ramos-Pinto
US,88,19,Oregon,Oregon,Oregon Other,Pinot Noir,Spindrift Cellars
US,88,20,Oregon,Oregon,Oregon Other,Pinot Gris,Lachini
Australia,88,29,Western Australia,Margaret River,,Cabernet Merlot,Leeuwin Estate
Spain,88,70,Northern Spain,Rioja,,Tempranillo Blend,Luis Alegre
Italy,88,9,Central Italy,Montepulciano d'Abruzzo Colline Teramane,,Montepulciano,Farnese
Italy,88,30,Sicily & Sardinia,Sicilia,,Red Blend,Firriato
Spain,88,25,Northern Spain,Bierzo,,Mencía,Valsanzo
Argentina,88,24,Mendoza Province,Mendoza,,Cabernet Sauvignon,Weinert
Australia,88,11,Australia Other,South Eastern Australia,,Merlot,Yellow Tail
US,88,24,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Arcane Cellars
US,88,35,California,Dry Creek Valley,Sonoma,Zinfandel,Bella
France,88,29,Bordeaux,Premieres Côtes de Blaye,,Bordeaux-style White Blend,Château Haut Bertinerie
France,88,,Bordeaux,Sauternes,,Bordeaux-style White Blend,Château Lamothe Guignard
Italy,88,16,Sicily & Sardinia,Sicilia,,Nerello Mascalese,Cottanera
Australia,88,23,South Australia,Barossa,,Shiraz-Viognier,Creed of Barossa
US,88,16,New York,Finger Lakes,Finger Lakes,Riesling,Dr. Konstantin Frank
Austria,91,16,Kremstal,,,Grüner Veltliner,Hermann Moser
US,91,24,Oregon,Willamette Valley,Willamette Valley,Pinot Blanc,Ken Wright
US,91,25,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Ken Wright
US,91,22,Oregon,Oregon,Oregon Other,Pinot Gris,King Estate
Chile,91,100,Colchagua Valley,,,Red Blend,Koyle
Austria,91,,Vienna,,,Grüner Veltliner,Lenikus
Portugal,91,20,Alentejano,,,Portuguese Red,Terras de Alter
US,91,19,Oregon,Dundee Hills,Willamette Valley,Pinot Blanc,The Eyrie Vineyards
Austria,91,25,Burgenland,,,Rosé,Umathum
Chile,91,30,Cachapoal Valley,,,Red Blend,Valle Secreto
France,91,26,Loire Valley,Sancerre,,Sauvignon Blanc,Vignobles Berthier
Germany,91,35,Mosel,,,Riesling,Villa Huesgen
Chile,91,60,Curicó Valley,,,Red Blend,Viña Requingua
Chile,91,50,Peumo,,,Carmenère,Concha y Toro
France,91,35,Loire Valley,Sancerre,,Sauvignon Blanc,Domaine Matthias et Emile Roblin
Portugal,91,16,Dão,,,Encruzado,Fontes da Cunha
Italy,91,20,Northeastern Italy,Collio,,Pinot Grigio,Gradis'ciutta
Italy,91,30,Northeastern Italy,Alto Adige,,Sauvignon,Niedermayr Josef
Portugal,91,30,Douro,,,Portuguese Red,Quinta das Bandeiras
US,91,58,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Rex Hill
Chile,91,40,Cachapoal Valley,,,Red Blend,Santa Carolina
US,91,39,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Scott Paul
US,91,60,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Sokol Blosser
Germany,91,75,Mosel,,,Riesling,St. Urbans-Hof
Germany,91,42,Mosel,,,Riesling,St. Urbans-Hof
US,91,48,California,Santa Maria Valley,Central Coast,Pinot Noir,Riverbench
Italy,91,26,Northeastern Italy,Collio,,Pinot Grigio,Russiz Superiore
Germany,91,72,Mosel,,,Riesling,S.A. Prüm
US,91,45,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Sokol Blosser
Austria,91,20,Thermenregion,,,Zierfandler-Rotgipfler,Gebeshuber
US,89,18,California,Mendocino County,,White Blend,Monte Volpe
US,89,24,California,California,California Other,Chardonnay,Naggiar
Italy,89,77,Piedmont,Barbaresco,,Nebbiolo,Pio Cesare
Chile,89,40,Marchigue,,,Syrah,Polkura
Italy,89,75,Piedmont,Barbaresco,,Nebbiolo,Cascina Luisin
Italy,89,41,Piedmont,Barbera d'Asti Superiore,,Barbera,Castello Gabiano
Italy,89,,Central Italy,Lambrusco Grasparossa di Castelvetro,,Lambrusco Grasparossa,Cleto Chiarli
US,89,50,California,Central Coast,Central Coast,Cabernet Sauvignon,Clos La Chance
Italy,89,15,Piedmont,Barbera d'Asti,,Barbera,Coppo
US,89,27,California,Amador County,Sierra Foothills,Petite Sirah,Deaver
France,89,59,Burgundy,Savigny-lès-Beaune,,Chardonnay,Domaine Françoise André
US,89,30,California,El Dorado,Sierra Foothills,Clairette,Donkey & Goat
US,89,35,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Eternal
US,89,30,New York,North Fork of Long Island,Long Island,Sparkling Blend,Harbes Family Vineyard
France,89,,Burgundy,Savigny-lès-Beaune,,Chardonnay,Henri de Villamont
Chile,89,20,Maule Valley,,,Cabernet Sauvignon,J. Bouchon
Chile,89,21,Casablanca Valley,,,Syrah,Ritual
US,89,32,California,Temecula Valley,South Coast,Sangiovese,Robert Renzoni
US,89,13,California,Amador County,Sierra Foothills,Rosé,Sobon Estate
US,89,19,New York,North Fork of Long Island,Long Island,Bordeaux-style Red Blend,Suhru
US,89,18,California,Central Coast,Central Coast,Syrah,Tensley
Spain,89,30,Catalonia,Priorat,,Red Blend,Terroir Al Límit
Spain,89,15,Northern Spain,Rueda,,Verdejo,Vetus
Italy,89,22,Piedmont,Barbera d'Asti Superiore,,Barbera,Vigne dei Mastri
France,89,20,Beaujolais,Fleurie,,Gamay,Vignobles Bulliat
Italy,89,30,Piedmont,Barbera d'Asti Superiore,,Barbera,Vite Colte
US,89,12,New York,Finger Lakes,Finger Lakes,Chardonnay,Wagner
US,89,8,California,California,California Other,Pinot Noir,Woodbridge by Robert Mondavi
France,89,39,Burgundy,Montagny,,Chardonnay,Arnaud Baillot
US,89,40,California,Santa Cruz Mountains,Central Coast,Nebbiolo,Bargetto
Portugal,88,,Douro,,,Portuguese Red,Douro Family Estates
Italy,88,21,Tuscany,Rosso di Montalcino,,Sangiovese Grosso,Ferrero
France,88,,Beaujolais,Saint-Amour,,Gamay,Georges Duboeuf
Spain,88,20,Northern Spain,Somontano,,Red Blend,Viñas del Vero
Spain,88,57,Northern Spain,Ribera del Duero,,Tempranillo Blend,Pago de Carraovejas
US,88,20,Washington,Washington,Washington Other,Cabernet Franc,Substance
Italy,88,22,Tuscany,Rosso di Montalcino,,Sangiovese Grosso,Corte Pavone
Italy,88,55,Tuscany,Rosso di Montalcino,,Sangiovese Grosso,Cupano
France,88,16,Loire Valley,Muscadet Sèvre et Maine,,Melon,Domaine de la Grenaudière
France,88,,Loire Valley,Quincy,,Sauvignon Blanc,Domaine Lecomte
US,88,17,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Dunham
France,88,16,Loire Valley,Muscadet Sèvre et Maine,,Melon,Guy Saget
Portugal,88,,Vinho Verde,,,Loureiro,Adega Cooperativa Ponte de Lima
Argentina,88,25,Mendoza Province,Mendoza,,Bordeaux-style Red Blend,Bodega Norton
France,88,,Loire Valley,Sancerre,,Pinot Noir,Roger et Didier Raimbault
Australia,88,22,Tasmania,Tasmania,,Pinot Gris,Tamar Ridge
South Africa,88,15,Simonsberg-Paarl,,,Rosé,Vrede en Lust
Argentina,88,10,Mendoza Province,Mendoza,,Malbec,Valentin Bianchi
Italy,88,,Tuscany,Brunello di Montalcino,,Sangiovese Grosso,Vasco Sassetti
Spain,88,15,Northern Spain,Rioja,,Tempranillo,Vaza
France,88,25,Loire Valley,Sancerre,,Sauvignon Blanc,Joseph Mellot
France,90,16,Bordeaux,Cadillac Côtes de Bordeaux,,Bordeaux-style Red Blend,Château Chatard
Portugal,90,15,Alentejano,,,Portuguese Red,Herdade do Rocim
US,90,15,Washington,Red Mountain,Columbia Valley,Lemberger,Kiona
US,90,20,New York,Finger Lakes,Finger Lakes,Cabernet Franc,Lamoreaux Landing
Italy,90,105,Piedmont,Barolo,,Nebbiolo,Viberti
US,90,95,California,Napa Valley,Napa,Bordeaux-style Red Blend,William Hill Estate
France,90,22,Alsace,Alsace,,Riesling,Willm
US,90,52,California,Paso Robles,Central Coast,Bordeaux-style Red Blend,Midnight
US,90,48,California,Russian River Valley,Sonoma,Zinfandel,Portalupi
US,90,90,California,Napa Valley,Napa,Cabernet Sauvignon,Sequoia Grove
US,90,35,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Swiftwater Cellars
Italy,90,41,Piedmont,Barbaresco,,Nebbiolo,Ada Nada
France,90,,Alsace,Alsace,,Sylvaner,Boeckel
Italy,90,56,Piedmont,Barolo,,Nebbiolo,Cascina Bongiovanni
Italy,90,68,Piedmont,Barolo,,Nebbiolo,Casetta
France,90,25,Bordeaux,Médoc,,Bordeaux-style Red Blend,Château Castera
France,90,30,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Gramond
France,90,29,Bordeaux,Blaye Côtes de Bordeaux,,Bordeaux-style Red Blend,Château la Baronnerie
France,90,14,Bordeaux,Bordeaux Supérieur,,Bordeaux-style Red Blend,Château la Verrière
US,90,35,California,Napa Valley,Napa,Merlot,Clos du Val
US,90,28,California,Santa Barbara,Central Coast,Tempranillo,Core Winery
Portugal,90,24,Alentejano,,,Aragonez,Cortes de Cima
US,90,53,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Jordan
US,90,25,Washington,Red Mountain,Columbia Valley,Syrah,Kiona
Chile,90,30,Colchagua Valley,,,Red Blend,Maquis
Portugal,90,59,Douro,,,Portuguese Red,Quinta Seara d'Ordens
France,90,18,Alsace,Alsace,,Muscat,Domaine Zinck
Uruguay,90,45,Juanico,,,Red Blend,Familia Deicas
Italy,84,8,Veneto,Prosecco,,Glera,Banero
Chile,84,12,Central Valley,,,Sauvignon Blanc,Cono Sur
US,84,7,California,California,California Other,Red Blend,Barefoot
Italy,84,11,Veneto,Piave,,Raboso,Bonotto delle Tezze
US,84,12,California,California,California Other,Chardonnay,Silver Ridge
Chile,83,18,Maule Valley,,,País,Chilcas
Bulgaria,83,9,Black Sea Coastal,,,Sauvignon Blanc,Targovishte
Croatia,83,21,Peljesac,,,Rosé,Korta Katarina
US,83,11,California,California,California Other,Petite Sirah,McManis
US,83,16,California,Napa Valley,Napa,Sauvignon Blanc,Emmolo
US,83,30,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Field Stone
US,83,14,California,Lake County,,Chardonnay,Guenoc
Italy,83,12,Piedmont,Piedmont,,Moscato,Tosti
Chile,83,14,Central Valley,,,Pinot Grigio,Arauco
Chile,83,12,Central Valley,,,Merlot,Casas del Toqui
Chile,83,12,Colchagua Valley,,,Carmenère,Root:1
Portugal,83,,Trás-os-Montes,,,Portuguese Red,Valle Pradinhos
Brazil,83,31,Santa Catarina,,,Sparkling Blend,Villaggio Grando
Chile,83,12,Maipo Valley,,,Sauvignon Blanc,Viña Chocalan
US,83,11,California,California,California Other,Pinot Noir,McManis
Chile,83,10,Central Valley,,,Red Blend,oops
Italy,83,12,Italy Other,Italy,,Moscato,Astoria
Chile,83,15,Curicó Valley,,,Cabernet Sauvignon,Cuevas del Sur
US,83,24,California,Napa Valley,Napa,Red Blend,Cerruti
US,92,52,Oregon,Ribbon Ridge,Willamette Valley,Pinot Noir,Brick House
France,92,29,Bordeaux,Moulis-en-Médoc,,Bordeaux-style Red Blend,Château Dutruch Grand Poujeaux
France,92,40,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Villemaurine
US,92,65,California,Edna Valley,Central Coast,Pinot Noir,Daou
US,92,55,California,Anderson Valley,,Pinot Noir,Davies
Spain,92,45,Levante,Jumilla,,Red Blend,El Nido
Italy,92,78,Northeastern Italy,Trento,,Pinot Nero,Ferrari
US,92,44,California,Santa Ynez Valley,Central Coast,Syrah,Foxen
Italy,92,55,Veneto,Amarone della Valpolicella Classico,,Red Blend,Corteforte
US,92,26,California,Dry Creek Valley,Sonoma,Zinfandel,Dashe Cellars
US,92,26,California,Paso Robles,Central Coast,Chardonnay,Dunning Vineyards
US,92,195,California,Napa Valley,Napa,Cabernet Sauvignon,Grgich Hills
Germany,92,69,Rheinhessen,,,Riesling,Prinz Salm
US,92,38,California,Alexander Valley,Sonoma,Red Blend,Ridge
Italy,92,40,Central Italy,Montefalco Sagrantino,,Sagrantino,Adanti
US,92,42,California,Paso Robles,Central Coast,Syrah,Alta Colina
US,92,47,California,Carneros,Napa-Sonoma,Pinot Noir,Schermeister
US,92,65,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Gypsy Dancer
US,92,55,California,Napa Valley,Napa,Malbec,Krutz
US,92,35,California,Sta. Rita Hills,Central Coast,Pinot Noir,Weatherborne
US,92,99,California,Napa Valley,Napa,Cabernet Sauvignon,Tobacco Road
US,92,40,California,Santa Lucia Highlands,Central Coast,Chardonnay,Lucienne
US,92,45,California,Paso Robles,Central Coast,Rhône-style Red Blend,ONX
US,92,45,California,Paso Robles,Central Coast,Red Blend,ONX
Italy,92,54,Central Italy,Montefalco Sagrantino,,Sagrantino,Arnaldo Caprai
Italy,92,100,Central Italy,Montefalco Sagrantino,,Sagrantino,Arnaldo Caprai
US,92,36,California,Paso Robles,Central Coast,Grenache,Barton
US,92,44,California,Santa Cruz Mountains,Central Coast,Pinot Noir,Black Ridge
US,92,75,California,Santa Barbara County,Central Coast,Cabernet Sauvignon,Blackjack
US,92,20,California,Central Coast,Central Coast,Gewürztraminer,Claiborne & Churchill
US,86,16,New York,New York,New York Other,Traminette,Whitecliff Vineyard
US,86,33,California,Russian River Valley,Sonoma,Syrah,Acorn
Italy,86,16,Tuscany,Toscana,,Red Blend,Aia Vecchia
Spain,86,19,Northern Spain,Rioja,,Tempranillo Blend,Castillo Clavijo
Spain,86,14,Northern Spain,Ribera del Duero,,Tinto del Pais,O. Fournier
Italy,86,15,Tuscany,Rosso di Montepulciano,,Sangiovese,Poliziano
Chile,86,9,Central Valley,,,Chardonnay,San Elias
US,86,13,California,Central Coast,Central Coast,Sauvignon Blanc,Sterling
Chile,86,9,Curicó Valley,,,Chardonnay,Tololo
France,86,20,Bordeaux,Côtes de Bordeaux,,Bordeaux-style Red Blend,Château de Paillet-Quancard
France,86,18,Bordeaux,Médoc,,Bordeaux-style Red Blend,Château Lacombe Noaillac
Chile,86,12,Elqui Valley,,,Syrah,Chono
US,86,22,California,Calistoga,Napa,Verdelho,Coquerel Family Wine Estates
Italy,86,,Tuscany,Chianti Classico,,Sangiovese,Dievole
Chile,86,14,Colchagua Valley,,,Chardonnay,Domaines Barons de Rothschild (Lafite)
Portugal,86,9,Tejo,,,Portuguese White,Falua
France,86,15,Languedoc-Roussillon,Pays d'Oc,,Rosé,Gérard Bertrand
Chile,86,11,Colchagua Valley,,,Carmenère,Viña Bisquertt
US,86,52,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,Bergevin Lane
US,86,10,California,California,California Other,Chardonnay,Big House
Chile,86,14,Colchagua Valley,,,Cabernet Sauvignon,Calcu
US,86,48,California,Sonoma Coast,Sonoma,Pinot Noir,Kokomo
Chile,86,12,Rapel Valley,,,Merlot,Lapostolle
France,86,14,Languedoc-Roussillon,Vin de Pays des Côtes Catalanes,,Rosé,Le Cirque
France,86,16,Languedoc-Roussillon,Côtes du Roussillon Villages,,Rhône-style Red Blend,Château de Jau
Chile,86,14,Maule Valley,,,Cabernet Sauvignon,P.K.N.T.
Italy,86,20,Tuscany,Toscana,,Red Blend,Podere Guado al Melo
Spain,87,14,Northern Spain,Rueda,,Verdejo,Naia
Italy,87,20,Tuscany,Vino Nobile di Montepulciano,,Prugnolo Gentile,Poggio alla Sala
South Africa,87,12,Robertson,,,Chenin Blanc,Rietvallei Estate Wine
US,87,30,California,Napa Valley,Napa,Cabernet Sauvignon,Tamayo Family
Spain,87,27,Northern Spain,Rioja,,Tempranillo,Montecillo
US,87,35,California,Paso Robles,Central Coast,Viognier,Orchid Hill
US,87,44,California,Chalone,Central Coast,Pinot Noir,P2
US,87,26,California,Malibu-Newton Canyon,South Coast,Merlot,Rosenthal-Malibu Estate
France,87,14,Bordeaux,Bordeaux,,Bordeaux-style Red Blend,Domaines Barons de Rothschild (Lafite)
Spain,87,9,Andalucia,Vino de la Tierra Contraviesa Alpujarra,,Tempranillo,Dominio Buenavista
Germany,87,40,Mosel-Saar-Ruwer,,,Riesling,Dr. H. Thanisch (Erben Müller-Burggraef)
US,87,30,California,Mount Harlan,Central Coast,Pinot Noir,Calera
South Africa,87,28,Stellenbosch,,,Bordeaux-style Red Blend,Warwick
Spain,87,20,Northern Spain,Ribera del Duero,,Tempranillo,Viña Gormaz
US,87,15,California,Napa Valley,Napa,Chenin Blanc,Ballentine
US,87,70,California,Stags Leap District,Napa,Cabernet Sauvignon,Shafer
US,87,19,California,Lake County,,Cabernet Sauvignon,Shannon Ridge
US,87,29,California,Malibu-Newton Canyon,South Coast,Red Blend,Surfrider
US,87,25,California,Edna Valley,Central Coast,Chardonnay,Kynsi
Australia,87,16,South Australia,Adelaide Hills,,Chardonnay,Nepenthe
France,91,17,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Peyrabon
US,91,40,California,Mendocino,,Red Blend,Clos du Bois
Australia,91,29,South Australia,McLaren Vale,,Grenache,D'Arenberg
US,91,35,California,Russian River Valley,Sonoma,Pinot Noir,Davis Bynum
US,91,30,California,Arroyo Seco,Central Coast,Syrah,DeTierra Vineyards
France,91,35,Alsace,Alsace,,Gewürztraminer,Domaine Charles Baur
US,91,20,California,Santa Barbara County,Central Coast,Merlot,Rancho Sisquoc
US,91,34,California,Paso Robles,Central Coast,Rhône-style Red Blend,Rendarrio Vineyards
US,91,16,California,Lodi,Central Valley,Zinfandel,Seven Deadly Zins
Italy,91,42,Tuscany,Brunello di Montalcino,,Sangiovese,Siro Pacenti
US,91,45,Oregon,McMinnville,Willamette Valley,Pinot Noir,Sokol Blosser
Italy,91,105,Tuscany,Brunello di Montalcino,,Sangiovese,Tenute Silvio Nardi
Italy,91,30,Tuscany,Chianti Classico,,Sangiovese,Tolaini
US,91,85,California,Oakville,Napa,Cabernet Sauvignon,Vine Cliff
France,91,35,Alsace,Alsace,,Gewürztraminer,Joseph Cattin
US,91,42,California,Russian River Valley,Sonoma,Pinot Noir,K Squared Cellars
Australia,91,120,South Australia,McLaren Vale,,Shiraz,Kay Brothers
US,91,29,California,Sta. Rita Hills,Central Coast,Chardonnay,Kessler-Haak
US,91,80,California,Napa Valley,Napa,Cabernet Sauvignon,Kuleto Estate
US,91,56,California,Sonoma Coast,Sonoma,Pinot Noir,MacRostie
US,91,55,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Megan Anne
US,91,16,Oregon,Umpqua Valley,Southern Oregon,Riesling,Melrose
US,91,60,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Miner
US,91,65,Oregon,Eola-Amity Hills,Willamette Valley,Pinot Noir,Owen Roe
Italy,91,55,Tuscany,Brunello di Montalcino,,Sangiovese,Podere Brizio
France,91,28,Alsace,Alsace,,Riesling,Dopff & Irion
US,91,31,California,Sonoma County,Sonoma,Sauvignon Blanc,Eric Kent
US,91,20,California,Lodi,Central Valley,Cabernet Sauvignon,Freakshow
US,91,27,California,Carneros,Napa-Sonoma,Pinot Noir,Gloria Ferrer
US,91,23,Oregon,Umpqua Valley,Southern Oregon,Tempranillo,Abacela
US,86,20,California,Russian River Valley,Sonoma,Sauvignon Blanc,Hanna
US,86,20,California,Paso Robles,Central Coast,Merlot,Robert Hall
US,86,52,California,Napa Valley,Napa,Cabernet Sauvignon,Rutherford Ranch
Chile,86,9,Maipo Valley,,,Sauvignon Blanc,Santa Ema
Chile,86,15,Colchagua Valley,,,Cabernet Sauvignon,Siegel
US,86,18,California,Santa Barbara County,Central Coast,Chardonnay,The Federalist
Italy,86,23,Tuscany,Rosso di Montepulciano,,Red Blend,Trerose
France,86,13,Beaujolais,Beaujolais-Villages,,Gamay,Vignerons de Bel Air
Italy,86,17,Tuscany,Chianti Classico,,Red Blend,Villa Calcinaia
Italy,86,24,Tuscany,Rosso di Montepulciano,,Red Blend,Villa S. Anna
France,86,,Southwest France,,,Malbec,Vinovalie
US,86,28,California,Russian River Valley,Sonoma,Cabernet Franc,Wait Cellars
US,86,22,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Crespi Ranch
France,86,13,Southwest France,Côtes du Tarn,,Sauvignon Blanc,Domaine D'en Ségur
France,86,16,Southwest France,Cahors,,Malbec,Domaine du Théron
US,86,26,California,Paso Robles,Central Coast,Syrah,Eberle
US,86,32,California,Russian River Valley,Sonoma,Pinot Noir,Ektimo Vineyards
US,86,25,California,Santa Barbara County,Central Coast,Roussanne,Epiphany
Portugal,86,8,Douro,,,Portuguese Red,Aveleda
Italy,86,17,Tuscany,Rosso di Montepulciano,,Red Blend,Canneto
Italy,86,,Tuscany,Chianti Classico,,Red Blend,Casa Emma
Portugal,86,20,Península de Setúbal,,,Chardonnay-Viognier,Casa Ermelinda Freitas
France,86,12,Southwest France,Gaillac,,Red Blend,Château Lastours
US,86,17,California,Dry Creek Valley,Sonoma,Merlot,Chelsea Goldschmidt
US,86,22,California,Russian River Valley,Sonoma,Pinot Noir,Crespi Ranch
US,86,14,Oregon,Rogue Valley,Southern Oregon,Chardonnay,Deer Creek
France,86,13,Beaujolais,Beaujolais-Villages,,Gamay,Domaine de la Madone
France,86,17,Southwest France,Gaillac,,Mauzac,Domaine des Terrisses
Germany,86,19,Pfalz,,,Riesling,Dr. Bürklin-Wolf
US,86,32,California,Russian River Valley,Sonoma,Cabernet Sauvignon,Ektimo Vineyards
Chile,92,20,Central Valley,,,Red Blend,Bodega Volcanes de Chile
US,92,78,California,Central Coast,Central Coast,Rhône-style Red Blend,Bonny Doon
Chile,92,33,Colchagua Valley,,,Bordeaux-style Red Blend,Caliterra
Italy,92,53,Tuscany,Rosso di Montalcino,,Sangiovese,Il Paradiso di Manfredi
France,92,49,Rhône Valley,Saint-Joseph,,Syrah,Les Vins de Vienne
Spain,92,40,Central Spain,Dominio de Valdepusa,,Cabernet Sauvignon,Marques de Griñon
Chile,92,25,Loncomilla Valley,,,Carignan,Morandé
US,92,29,California,Red Hills Lake County,,Mourvèdre,Sol Rouge
US,92,28,California,Lake County,,Viognier,Sol Rouge
Austria,92,40,Niederösterreich,,,Riesling,Salomon-Undhof
US,92,42,Washington,Yakima Valley,Columbia Valley,Petite Sirah,Sparkman
France,92,24,Beaujolais,Morgon,,Gamay,Château de Bellevue
US,92,39,Washington,Wahluke Slope,Columbia Valley,Rhône-style Red Blend,Dusted Valley
Italy,92,27,Tuscany,Rosso di Montalcino,,Sangiovese,Gianni Brunelli
Chile,92,85,Rapel Valley,,,Red Blend,Lapostolle
US,92,70,California,Russian River Valley,Sonoma,Pinot Noir,Lynmar
France,92,109,Rhône Valley,Hermitage,,Marsanne,M. Chapoutier
Austria,92,50,Niederösterreich,,,Riesling,Markus Huber
Austria,92,42,Niederösterreich,,,Grüner Veltliner,Nigl
Italy,92,26,Piedmont,Langhe,,Nebbiolo,Paolo Scavino
US,92,50,California,Santa Cruz Mountains,Central Coast,Cabernet Sauvignon,Ridge
US,92,49,California,Sta. Rita Hills,Central Coast,Pinot Noir,Siduri
US,92,50,California,Sta. Rita Hills,Central Coast,Pinot Noir,Alma Rosa
US,92,38,California,Central Coast,Central Coast,Rhône-style Red Blend,Bonny Doon
US,92,24,California,Paso Robles,Central Coast,Cabernet Sauvignon,Vina Robles
US,92,65,California,Sta. Rita Hills,Central Coast,Pinot Noir,Walt
US,92,25,California,Santa Lucia Highlands,Central Coast,Chardonnay,Windstream
Spain,89,30,Northern Spain,Toro,,Tinta de Toro,Pagos del Rey
Italy,89,20,Tuscany,Toscana,,Red Blend,PoderNuovo a Palazzone
Portugal,89,20,Douro,,,Touriga Nacional,Quinta das Carvalhas
US,89,28,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Soléna
US,89,26,California,Lodi,Central Valley,Rhône-style Red Blend,The Dancing Fox
US,89,36,California,Santa Maria Valley,Central Coast,Chardonnay,La Fenêtre
